ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
2068540678,-24.7947256,-65.4059082,,,Nodo 2068540678
12875844260,-24.794775,-65.4059114,,,Nodo 12875844260
12874338419,-24.7951565,-65.4059359,,,Nodo 12874338419
446376412,-24.7952477,-65.4059418,,,Nodo 446376412
8415593451,-24.796523,-65.406074,,,Nodo 8415593451
1170590884,-24.7965877,-65.4060787,,,Nodo 1170590884
8415593453,-24.7966606,-65.4060833,,,Nodo 8415593453
2052323186,-24.7971949,-65.4061147,,,Nodo 2052323186
8415593449,-24.7977225,-65.4061515,,,Nodo 8415593449
1170590967,-24.7977899,-65.406157,,,Nodo 1170590967
8415593454,-24.7978577,-65.4061625,,,Nodo 8415593454
8415593433,-24.7989127,-65.4062362,,,Nodo 8415593433
1170590768,-24.798984,-65.406242,,,Nodo 1170590768
8415593452,-24.7990482,-65.4062467,,,Nodo 8415593452
1365467144,-24.7997537,-65.4062909,,,Nodo 1365467144
8415593440,-24.8003794,-65.4063331,,,Nodo 8415593440
1170590662,-24.8004563,-65.4063391,,,Nodo 1170590662
8415593436,-24.8005412,-65.4063467,,,Nodo 8415593436
8415593441,-24.8016432,-65.4064332,,,Nodo 8415593441
1170590690,-24.8017259,-65.4064406,,,Nodo 1170590690
8415593456,-24.8017956,-65.4064467,,,Nodo 8415593456
8415593462,-24.8029135,-65.4065315,,,Nodo 8415593462
1170591161,-24.8029838,-65.4065374,,,Nodo 1170591161
8415593459,-24.8030466,-65.406542,,,Nodo 8415593459
1365467473,-24.8035956,-65.406576,,,Nodo 1365467473
1365467484,-24.8037555,-65.4065873,,,Nodo 1365467484
8415593464,-24.804169,-65.4066128,,,Nodo 8415593464
1170591093,-24.8042256,-65.4066169,,,Nodo 1170591093
8415593450,-24.8042815,-65.4066206,,,Nodo 8415593450
8415593455,-24.8048101,-65.4066581,,,Nodo 8415593455
1170591066,-24.8048552,-65.4066604,,,Nodo 1170591066
8415593444,-24.804947,-65.4066668,,,Nodo 8415593444
8415593461,-24.8054283,-65.4067041,,,Nodo 8415593461
1170591131,-24.8054974,-65.4067091,,,Nodo 1170591131
8415593465,-24.8055699,-65.4067136,,,Nodo 8415593465
8415593460,-24.8060942,-65.4067509,,,Nodo 8415593460
1170590723,-24.8061443,-65.406755,,,Nodo 1170590723
8415593473,-24.8062209,-65.4067613,,,Nodo 8415593473
8415593435,-24.8067077,-65.4067959,,,Nodo 8415593435
1170591186,-24.806769,-65.4067996,,,Nodo 1170591186
8415593467,-24.8068396,-65.4068032,,,Nodo 8415593467
1170591103,-24.8074325,-65.4068398,,,Nodo 1170591103
7799798717,-24.808044,-65.4068842,,,Nodo 7799798717
7799798720,-24.8081598,-65.4068922,,,Nodo 7799798720
1015252999,-24.7799276,-65.4282386,,,Nodo 1015252999
7684408061,-24.7798983,-65.4283803,,,Nodo 7684408061
5912829456,-24.7798637,-65.428475,,,Nodo 5912829456
12259700420,-24.7796999,-65.4287877,,,Nodo 12259700420
12259700431,-24.7795515,-65.429071,,,Nodo 12259700431
12259700440,-24.7794419,-65.4292801,,,Nodo 12259700440
1391039172,-24.7792958,-65.4295526,,,Nodo 1391039172
1015253001,-24.7786526,-65.4308196,,,Nodo 1015253001
595505254,-24.775002,-65.4151169,,,Nodo 595505254
12884512100,-24.7751078,-65.4151268,,,Nodo 12884512100
12884512110,-24.7756587,-65.4151782,,,Nodo 12884512110
1392302077,-24.7757703,-65.4151886,,,Nodo 1392302077
12884512114,-24.7758768,-65.4152003,,,Nodo 12884512114
5939416950,-24.7768689,-65.4153087,,,Nodo 5939416950
12884512016,-24.7769051,-65.4153118,,,Nodo 12884512016
1392271465,-24.7770226,-65.4153219,,,Nodo 1392271465
12884512017,-24.777119,-65.4153323,,,Nodo 12884512017
12884512008,-24.7781783,-65.4154472,,,Nodo 12884512008
1390875770,-24.7782972,-65.4154601,,,Nodo 1390875770
1025603485,-24.8088529,-65.4213173,,,Nodo 1025603485
1025603484,-24.8102764,-65.4219103,,,Nodo 1025603484
1015252982,-24.8101931,-65.4192919,,,Nodo 1015252982
